Column,OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length,osm_type,osm_id,lat,lon,importance
241,1995,Walnut Entrance,Walnut-Entrance,no,1,SUP,66.9763358821686,way,8652406,42.311637,-71.096404,0.39
242,63,Walter Street,Walter-Street,no,3,BL,22.205496206649,way,591277994,42.2959968,-71.1294206,0.41
243,2027,Warren Street,Warren-Street,no,3,SLM,87.13344727411379,node,69489300,42.3484068,-71.140445,0.47
244,1996,Washington Street,Washington-Street,no,3,SLM,24.967502846522603,node,69485017,42.3440542,-71.1426459,0.46
245,2135,Water Street,Water-Street,no,2,NW-U,10.995310541715698,way,426489348,42.3575841,-71.0564128,0.41
246,201,West Dedham Street,West-Dedham-Street,no,4,CL,43.323702966877605,way,8640321,42.341709,-71.07256,0.51
247,26,Western Avenue,Western-Avenue,no,3,CL,80.1851148948672,way,541013777,42.361545,-71.1462272,0.41
248,119,Westland Avenue,Westland-Avenue,no,1,SBL,204.59452605535301,way,426623435,42.3440103,-71.0901672,0.41
249,1483,Whitfield Street,Whitfield-Street,no,2,TC,62.4892436981153,way,320201553,42.2903553,-71.0738581,0.41
250,1224,William Day Boulevard,William-Day-Boulevard,no,3,BFBL,824.4901042596131,,,,,
251,97,Williams Street,Williams-Street,no,2,TC,96.25075507403861,way,148495801,42.3048438,-71.1057102,0.41
252,1114,Willowwood Street,Willowwood-Street,no,1,NW,97.37726814893959,way,8644290,42.28451,-71.086218,0.41
253,330,Winship Street,Winship-Street,no,3,BL,86.95049721807051,way,149701300,42.3490448,-71.1506574,0.41
254,2406,Winter Street,Winter-Street,no,1,SRd,14.3045537871257,way,435347908,42.3080665,-71.0625902,0.41
255,162,Wyman Street,Wyman-Street,no,2,TC,52.5479468088667,way,8648821,42.320366,-71.105214,0.41
256,2543,Zakim Bridge Path,Zakim-Bridge-Path,no,1,SUC,251.210222869286,,,,,
